adversarial contract,time window
0x172133556107e05f281ce2e75b6a6fbe0965e055,3504
0x1526195738e545807207227d49ca947fe021ec97,336
0x1878a29ca7ceee16d4356bc98d727942b1d57076,408
0x1a62f8628f5945211e2a0fbe785135132798a948,12426
0x1d4786b1100ac1b168e5a8a53dbd8805803aa277,372
0x203f200fb833af6938e5994ae6e71d05734eff7c,120
0x23266765ffcf8867059c41d02c717cc1146eeb32,672
0x2b551d38e0ad58e8820fec1b66f930b5c71f61eb,48
0x2c4de44ebe537fe4e865710a5471130997e446f4,24
0x4ef42c9e0f316453a4ec0f182b85ade5a04cea28,240
0x63bd3dfe5fd0cfedbada089ff3f513896ec6d522,420
0x72804414dc05654cc67b88dfe5ad47ae15aac055,72
0x806b36b49c4e51596cb653802a7e29cfe4f5febe,90408
0x90744c976f69c7d112e8fe85c750ace2a2c16f15,636
0x9c7d82dca9bde34a7240f07248694f03ee96d913,176052
0x9f27901f9cc30bfe55b427f8c706f8b1d8b46d69,25344
0xb7c81fA6164fE4B8E9716C8050d2aD0e16B76db6,2196
0xbfe1025a910afa30741877aa97dabee86a6d1f06,96
0xc6f9d1ac1d63ee3c6565dddccd8430452cc26837,0
0xcb5d40520469467a23649100a2073c3239b88a98,96072
0xcf6cd27c3c776523065c273b9ba2e354ab0b14e9,1008
*0x4a6cfdff4f9bcfae00e6c2e6f671844cf4ac71cd,12
*0xadff14f301c3caf0502b6594709a1e0e07c46620,0
*0xd73a3a290bb48a972ea9b138ff87cf371365edc7,600
*0xf3ffbb7c665fb15245ac5ed378bd23ec68c5331b,156
*0xfb360005558e58ab140041a412672f0fc0e0c013,0
